127.0.0.1 - - [09/Jul/2017:15:07:19 +0400] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [09/Jul/2017:15:07:25 +0400] "GET /BuildUp/ HTTP/1.1" 200 350
0:0:0:0:0:0:0:1 - - [09/Jul/2017:15:07:26 +0400] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [09/Jul/2017:15:07:41 +0400] "GET /BuildUp/postup HTTP/1.1" 200 2303
0:0:0:0:0:0:0:1 - - [09/Jul/2017:15:07:41 +0400] "GET /BuildUp/resources/My_Design/%7B%7Bpost.pId%7D%7D.jpg HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [09/Jul/2017:15:07:41 +0400] "GET /BuildUp/resources/My_Design/angular.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Jul/2017:15:07:41 +0400] "GET /BuildUp/resources/My_Design/%7B%7Bpost.pId%7D%7D.jpg HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [09/Jul/2017:15:07:41 +0400] "GET /BuildUp/resources/My_Design/9.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Jul/2017:15:07:41 +0400] "GET /BuildUp/resources/My_Design/33.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Jul/2017:15:07:41 +0400] "GET /BuildUp/resources/My_Design/11.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Jul/2017:15:07:41 +0400] "GET /BuildUp/resources/My_Design/10.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Jul/2017:15:07:55 +0400] "GET /BuildUp/plzUpdatedpost?pid=33 HTTP/1.1" 200 1337
0:0:0:0:0:0:0:1 - - [09/Jul/2017:15:07:55 +0400] "GET /BuildUp/resources/My_Design/%7B%7Bpost.pId%7D%7D.jpg HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [09/Jul/2017:15:08:06 +0400] "GET /BuildUp/plzUpdatedpost?pid=9 HTTP/1.1" 200 1337
0:0:0:0:0:0:0:1 - - [09/Jul/2017:15:08:06 +0400] "GET /BuildUp/resources/My_Design/%7B%7Bpost.pId%7D%7D.jpg HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [09/Jul/2017:15:08:28 +0400] "GET /BuildUp/orgsignup HTTP/1.1" 200 3075
0:0:0:0:0:0:0:1 - - [09/Jul/2017:15:08:32 +0400] "GET /BuildUp/usersignup HTTP/1.1" 200 1749
0:0:0:0:0:0:0:1 - - [09/Jul/2017:15:08:37 +0400] "GET /BuildUp/usersignup HTTP/1.1" 200 1749
0:0:0:0:0:0:0:1 - - [09/Jul/2017:15:09:31 +0400] "POST /BuildUp/InsertUser HTTP/1.1" 200 1749
0:0:0:0:0:0:0:1 - - [09/Jul/2017:15:09:49 +0400] "GET /BuildUp/orgsignup HTTP/1.1" 200 3075
0:0:0:0:0:0:0:1 - - [09/Jul/2017:15:53:42 +0400] "GET /BuildUp/postup HTTP/1.1" 200 2303
0:0:0:0:0:0:0:1 - - [09/Jul/2017:15:53:42 +0400] "GET /BuildUp/resources/My_Design/%7B%7Bpost.pId%7D%7D.jpg HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [09/Jul/2017:15:53:42 +0400] "GET /BuildUp/resources/My_Design/%7B%7Bpost.pId%7D%7D.jpg HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [09/Jul/2017:16:10:04 +0400] "GET /BuildUp/postup HTTP/1.1" 200 2257
0:0:0:0:0:0:0:1 - - [09/Jul/2017:16:10:04 +0400] "GET /BuildUp/resources/My_Design/%7B%7Bpost.pId%7D%7D.jpg HTTP/1.1" 404 992
