127.0.0.1 - - [27/Aug/2017:16:38:58 +0400] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [27/Aug/2017:16:38:59 +0400] "GET /BuildUp/ HTTP/1.1" 200 478
0:0:0:0:0:0:0:1 - - [27/Aug/2017:16:39:09 +0400] "GET /BuildUp/fieldAdd HTTP/1.1" 500 -
0:0:0:0:0:0:0:1 - - [27/Aug/2017:16:39:09 +0400] "GET /BuildUp/fieldAdd HTTP/1.1" 200 2866
0:0:0:0:0:0:0:1 - - [27/Aug/2017:16:39:09 +0400] "GET /BuildUp/resources/My_Design/Fimages/%7B%7Bfield.fid%7D%7D.jpg HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [27/Aug/2017:16:39:09 +0400] "GET /BuildUp/resources/My_Design/angular.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Aug/2017:16:39:10 +0400] "GET /BuildUp/resources/My_Design/Fimages/5.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Aug/2017:16:39:10 +0400] "GET /BuildUp/resources/My_Design/Fimages/8.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Aug/2017:16:39:10 +0400] "GET /BuildUp/resources/My_Design/Fimages/7.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Aug/2017:16:40:42 +0400] "POST /BuildUp/addField HTTP/1.1" 200 2927
0:0:0:0:0:0:0:1 - - [27/Aug/2017:16:40:42 +0400] "GET /BuildUp/resources/My_Design/Fimages/%7B%7Bfield.fid%7D%7D.jpg HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [27/Aug/2017:16:40:42 +0400] "GET /BuildUp/resources/My_Design/Fimages/9.jpg HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [27/Aug/2017:16:41:48 +0400] "GET /BuildUp/ HTTP/1.1" 200 478
0:0:0:0:0:0:0:1 - - [27/Aug/2017:16:41:54 +0400] "GET /BuildUp/fieldAdd HTTP/1.1" 200 2927
0:0:0:0:0:0:0:1 - - [27/Aug/2017:16:41:54 +0400] "GET /BuildUp/resources/My_Design/Fimages/%7B%7Bfield.fid%7D%7D.jpg HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [27/Aug/2017:16:41:54 +0400] "GET /BuildUp/resources/My_Design/Fimages/9.jpg HTTP/1.1" 200 13756
0:0:0:0:0:0:0:1 - - [27/Aug/2017:16:42:08 +0400] "GET /BuildUp/DeleteField?fid=5 HTTP/1.1" 200 2873
0:0:0:0:0:0:0:1 - - [27/Aug/2017:16:42:08 +0400] "GET /BuildUp/resources/My_Design/Fimages/%7B%7Bfield.fid%7D%7D.jpg HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [27/Aug/2017:16:42:08 +0400] "GET /BuildUp/resources/My_Design/Fimages/9.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Aug/2017:16:42:21 +0400] "GET /BuildUp/plzUpdatedField?fid=9 HTTP/1.1" 200 3192
0:0:0:0:0:0:0:1 - - [27/Aug/2017:16:42:21 +0400] "GET /BuildUp/resources/My_Design/Fimages/%7B%7Bfield.fid%7D%7D.jpg HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [27/Aug/2017:16:42:21 +0400] "GET /BuildUp/resources/My_Design/Fimages/9.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Aug/2017:16:43:09 +0400] "POST /BuildUp/plzNowUpdatedField HTTP/1.1" 200 2891
0:0:0:0:0:0:0:1 - - [27/Aug/2017:16:43:09 +0400] "GET /BuildUp/resources/My_Design/Fimages/%7B%7Bfield.fid%7D%7D.jpg HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [27/Aug/2017:16:43:09 +0400] "GET /BuildUp/resources/My_Design/Fimages/9.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Aug/2017:16:43:45 +0400] "GET /BuildUp/branchAdd HTTP/1.1" 200 3464
0:0:0:0:0:0:0:1 - - [27/Aug/2017:16:43:45 +0400] "GET /BuildUp/resources/My_Design/Bimages/%7B%7Bfield.bid%7D%7D.jpg HTTP/1.1" 404 992
