127.0.0.1 - - [05/Oct/2017:13:40:17 +0400] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [05/Oct/2017:13:40:19 +0400] "GET /BuildUp/ HTTP/1.1" 200 478
0:0:0:0:0:0:0:1 - - [05/Oct/2017:13:40:19 +0400] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [05/Oct/2017:13:40:29 +0400] "GET /BuildUp/fieldAdd HTTP/1.1" 200 2891
0:0:0:0:0:0:0:1 - - [05/Oct/2017:13:40:29 +0400] "GET /BuildUp/resources/My_Design/Fimages/%7B%7Bfield.fid%7D%7D.jpg HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [05/Oct/2017:13:40:30 +0400] "GET /BuildUp/resources/My_Design/angular.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Oct/2017:13:40:30 +0400] "GET /BuildUp/resources/My_Design/Fimages/7.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Oct/2017:13:40:30 +0400] "GET /BuildUp/resources/My_Design/Fimages/9.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Oct/2017:13:40:30 +0400] "GET /BuildUp/resources/My_Design/Fimages/8.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Oct/2017:13:40:39 +0400] "GET /BuildUp/branchAdd HTTP/1.1" 200 3554
0:0:0:0:0:0:0:1 - - [05/Oct/2017:13:40:40 +0400] "GET /BuildUp/resources/My_Design/Bimages/%7B%7Bfield.bid%7D%7D.jpg HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [05/Oct/2017:13:40:40 +0400] "GET /BuildUp/resources/My_Design/Bimages/4.jpg HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [05/Oct/2017:13:40:40 +0400] "GET /BuildUp/resources/My_Design/Bimages/2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Oct/2017:13:40:50 +0400] "GET /BuildUp/domainAdd HTTP/1.1" 200 4233
0:0:0:0:0:0:0:1 - - [05/Oct/2017:13:40:50 +0400] "GET /BuildUp/resources/My_Design/Dimages/%7B%7Bfield.did%7D%7D.jpg HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [05/Oct/2017:13:40:50 +0400] "GET /BuildUp/resources/My_Design/Dimages/3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Oct/2017:13:40:50 +0400] "GET /BuildUp/resources/My_Design/Dimages/2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Oct/2017:13:41:10 +0400] "GET /BuildUp/branchAdd HTTP/1.1" 200 3554
0:0:0:0:0:0:0:1 - - [05/Oct/2017:13:41:10 +0400] "GET /BuildUp/resources/My_Design/Bimages/%7B%7Bfield.bid%7D%7D.jpg HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [05/Oct/2017:13:41:10 +0400] "GET /BuildUp/resources/My_Design/Bimages/4.jpg HTTP/1.1" 200 22220
0:0:0:0:0:0:0:1 - - [05/Oct/2017:13:41:24 +0400] "GET /BuildUp/domainAdd HTTP/1.1" 200 4233
0:0:0:0:0:0:0:1 - - [05/Oct/2017:13:41:24 +0400] "GET /BuildUp/resources/My_Design/Dimages/%7B%7Bfield.did%7D%7D.jpg HTTP/1.1" 404 992
